Total Number of Records            144.
             DATA SET: /home/las/datasets/objargo/MackessWithStats_Chla.nc
             X: 0.5 to 144.5
 Column  1: DATETIME is Time String
 Column  2: TIME is Time Coordinates (DAYS since 01-JAN-0000 00:00:00)   BAD FLAG : -1.E+34
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34
 Column  5: HT is height (METERS)   BAD FLAG : -1.E+34
 Column  6: C_RMSE is Chlorophyll RMSE wrt analyzed mean (mg/m^3)   BAD FLAG : -1.E+34
DATETIME,TIME,LON,LAT,HT,C_RMSE
"09-JAN",374.242,81.5,15.5,0,0  
"09-JAN",374.242,82.5,15.5,0,0  
"09-JAN",374.242,83.5,15.5,0,0  
"09-JAN",374.242,81.5,16.5,0,0  
"09-JAN",374.242,82.5,16.5,0,0  
"09-JAN",374.242,83.5,16.5,0,0  
"09-JAN",374.242,81.5,17.5,0,-1.E+34  
"09-JAN",374.242,82.5,17.5,0,-1.E+34  
"09-JAN",374.242,83.5,17.5,0,0  
"09-JAN",374.242,81.5,18.5,0,-1.E+34  
"09-JAN",374.242,82.5,18.5,0,-1.E+34  
"09-JAN",374.242,83.5,18.5,0,-1.E+34  
"09-FEB",405.242,81.5,15.5,0,-1.E+34  
"09-FEB",405.242,82.5,15.5,0,0  
"09-FEB",405.242,83.5,15.5,0,0  
"09-FEB",405.242,81.5,16.5,0,-1.E+34  
"09-FEB",405.242,82.5,16.5,0,0  
"09-FEB",405.242,83.5,16.5,0,0  
"09-FEB",405.242,81.5,17.5,0,-1.E+34  
"09-FEB",405.242,82.5,17.5,0,-1.E+34  
"09-FEB",405.242,83.5,17.5,0,0  
"09-FEB",405.242,81.5,18.5,0,-1.E+34  
"09-FEB",405.242,82.5,18.5,0,-1.E+34  
"09-FEB",405.242,83.5,18.5,0,-1.E+34  
"10-MAR",434.242,81.5,15.5,0,-1.E+34  
"10-MAR",434.242,82.5,15.5,0,-1.E+34  
"10-MAR",434.242,83.5,15.5,0,0  
"10-MAR",434.242,81.5,16.5,0,-1.E+34  
"10-MAR",434.242,82.5,16.5,0,-1.E+34  
"10-MAR",434.242,83.5,16.5,0,0  
"10-MAR",434.242,81.5,17.5,0,-1.E+34  
"10-MAR",434.242,82.5,17.5,0,-1.E+34  
"10-MAR",434.242,83.5,17.5,0,0  
"10-MAR",434.242,81.5,18.5,0,-1.E+34  
"10-MAR",434.242,82.5,18.5,0,-1.E+34  
"10-MAR",434.242,83.5,18.5,0,-1.E+34  
"10-APR",465.242,81.5,15.5,0,-1.E+34  
"10-APR",465.242,82.5,15.5,0,-1.E+34  
"10-APR",465.242,83.5,15.5,0,-1.E+34  
"10-APR",465.242,81.5,16.5,0,-1.E+34  
"10-APR",465.242,82.5,16.5,0,-1.E+34  
"10-APR",465.242,83.5,16.5,0,-1.E+34  
"10-APR",465.242,81.5,17.5,0,-1.E+34  
"10-APR",465.242,82.5,17.5,0,-1.E+34  
"10-APR",465.242,83.5,17.5,0,-1.E+34  
"10-APR",465.242,81.5,18.5,0,-1.E+34  
"10-APR",465.242,82.5,18.5,0,-1.E+34  
